Name,Active,SMILES (Canonical),TargetName
CHEMBL1801384,p,O=C1NCCc2[nH]c3c(ccc4cnc(/C=C/c5ccc(CN6CCOCC6)cc5)cc43)c21,MAPKAPK2
CHEMBL561334,p,C[C@@H]1CNc2c(sc3ccc4ncccc4c23)C(=O)N1,MAPKAPK2
CHEMBL2385548,p,N#Cc1ccc(-c2cc3c(o2)C(=O)N(Cc2ccccc2-c2cncnc2)c2ccc(N4CCNCC4)cc2C3)cc1,MAPKAPK2
CHEMBL258045,p,CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1,MAPKAPK2
CHEMBL556392,p,C[C@@H]1CNc2c(sc3ccc4nc(Cl)ccc4c23)C(=O)N1,MAPKAPK2
CHEMBL403154,p,CC(C)(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C(C)(C)CNC5=O)n2)CC1,MAPKAPK2
CHEMBL1938685,p,N#Cc1ccc(-c2cc3c(o2)-c2nccn2-c2ccc(N4CCNCC4)cc2C3)cc1,MAPKAPK2
CHEMBL1801285,p,O=C1NCC2(CNC2)c2[nH]c3c(c21)CCc1cnc(-c2cccc(F)c2)cc1-3,MAPKAPK2
CHEMBL1801287,p,CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4cccc(F)c4)cc3-2)C1,MAPKAPK2
CHEMBL1801289,p,CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4ccc(F)nc4)cc3-2)C1,MAPKAPK2
CHEMBL256194,p,CC1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCN(CC(C)(C)C)CC5)cs4)cc3n21,MAPKAPK2
CHEMBL4293121,p,COc1ccc(-c2ncc3c(c2F)-c2[nH]c4c(c2CC3)C(=O)NCC42CN(C)C2)cn1,MAPKAPK2
CHEMBL1801306,p,COc1ccc(-c2ncc3c(n2)-c2[nH]c4c(c2CC3)C(=O)NCC42CN(C)C2)cc1,MAPKAPK2
CHEMBL1233942,p,CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4ccccc4F)cc3-2)C1,MAPKAPK2
CHEMBL1801290,p,CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4ccc(OCCN5CCOCC5)cc4)cc3-2)C1,MAPKAPK2
CHEMBL1801308,p,CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4ccc(OCCN5CCOCC5)cc4)nc3-2)C1,MAPKAPK2
CHEMBL1801288,p,COc1ccc(-c2cc3c(cn2)CCc2c-3[nH]c3c2C(=O)NCC32CN(C)C2)cc1,MAPKAPK2
CHEMBL1801291,p,CCN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4ccccc4F)cc3-2)C1,MAPKAPK2
CHEMBL4282514,p,COc1ccc(-c2ncc3c(c2F)-c2[nH]c4c(c2CC3)C(=O)NCC42CN(C)C2)cc1F,MAPKAPK2
CHEMBL4277929,p,CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4cccc(F)c4)c(F)c3-2)C1,MAPKAPK2
CHEMBL1801286,p,COCCCOc1cncc(-c2cc3c(cn2)CCc2c-3[nH]c3c2C(=O)NCC32CN(C)C2)c1,MAPKAPK2
CHEMBL2385549,p,N#Cc1ccc(-c2cc3c(o2)C(=O)N(Cc2ccccc2-c2cncnc2)c2ccc(C4CCNCC4)cc2C3)cc1,MAPKAPK2
CHEMBL403258,p,O=C(Nc1nc(C(=O)NC2CCN(Cc3ccccc3)CC2)cs1)c1ccc2cc3n(c2c1)C1(CCC1)CNC3=O,MAPKAPK2
CHEMBL592030,p,NCCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,MAPKAPK2
CHEMBL1938687,p,N#Cc1ccc(-c2cc3c(o2)-c2nncn2-c2ccc(N4CCNCC4)cc2C3)cc1,MAPKAPK2
CHEMBL1801296,p,CN1CCC2(CC1)CNC(=O)c1c2[nH]c2c1CCc1cnc(-c3ccccc3F)cc1-2,MAPKAPK2
CHEMBL255991,p,CC(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C(C)CNC5=O)n2)CC1,MAPKAPK2
CHEMBL1089865,p,Cc1ccc(C(=O)NC2CC2)cc1-c1cc2cnn(-c3c(F)cccc3F)c2n(C)c1=O,MAPKAPK2
CHEMBL2385542,p,COc1cncc(-c2ccccc2CN2C(=O)c3oc(-c4ccc(C#N)cc4)cc3Cc3cc(N4CCNCC4)ccc32)c1,MAPKAPK2
CHEMBL270148,p,CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C(C)(C)CNC5=O)n2)CC1,MAPKAPK2
CHEMBL555205,p,COc1ccc2sc3c(c2c1)NC[C@@H](CN)NC3=O,MAPKAPK2
CHEMBL549915,p,Cc1ccncc1-c1ccc2c(ccc3sc4c(c32)NC[C@@H](C)NC4=O)n1,MAPKAPK2
CHEMBL271309,p,CC1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCN(C)CC5)cs4)cc3n21,MAPKAPK2
CHEMBL429504,p,CC1(C)CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCN(Cc6ccccc6)CC5)cs4)cc3n21,MAPKAPK2
CHEMBL1801385,p,O=C1NCCc2[nH]c3c(ccc4cnc(/C=C/c5cccc(CCN6CCOCC6)c5)cc43)c21,MAPKAPK2
CHEMBL1231206,p,Cc1ccc(-c2ccc3c(ccc4sc5c(c43)NC[C@@H](C)NC5=O)n2)cn1,MAPKAPK2
CHEMBL1801382,p,COCCOc1cncc(-c2cc3c(ccc4c5c([nH]c43)CNC5=O)cn2)c1,MAPKAPK2
CHEMBL560075,p,C[C@@H]1CNc2c(sc3ccc4nc(-c5cccnc5)ccc4c23)C(=O)N1,MAPKAPK2
CHEMBL1801381,p,O=C1NCc2[nH]c3c(ccc4cnc(-c5cncc(OCCN6CCOCC6)c5)cc43)c21,MAPKAPK2
CHEMBL2385547,p,O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cncnc1,MAPKAPK2
CHEMBL1091199,p,Cc1ccc(C(=O)NC2CC2)cc1-c1cc2cnn(-c3ccc(F)cc3F)c2n(C)c1=O,MAPKAPK2
CHEMBL1801304,p,COCCOc1cncc(-c2ncc3c(n2)-c2[nH]c4c(c2CC3)C(=O)NCC42CN(C)C2)c1,MAPKAPK2
CHEMBL2036616,p,N#Cc1ccc(-c2ccc(C3=NOC(c4ccccc4-c4cncnc4)N3c3ccc(N4CCNCC4)cc3)o2)cc1,MAPKAPK2
CHEMBL1801305,p,CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4cccc(F)c4)nc3-2)C1,MAPKAPK2
CHEMBL4792347,p,CNCCOc1ccccc1C(C)(C)Nc1nccn(-c2cc(C(=O)NC3CC3)ccc2C)c1=O,MAPKAPK2
CHEMBL3902121,p,Cc1cnc(-c2ccnc(C(C)(C)O)n2)cc1-n1c(C)cc(OCc2ccc(F)cc2F)c(Cl)c1=O,MAPKAPK2
CHEMBL1092754,p,Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21,MAPKAPK2
CHEMBL2385546,p,COc1ccncc1-c1ccccc1CN1C(=O)c2oc(-c3ccc(C#N)cc3)cc2Cc2cc(N3CCNCC3)ccc21,MAPKAPK2
CHEMBL1091928,p,Cn1c(=O)c(-c2cc(C(=O)NC3CC3)ccc2Cl)cc2cnn(-c3c(F)cccc3F)c21,MAPKAPK2
CHEMBL1938684,p,Clc1ccc(-c2cc3c(o2)-c2nccn2-c2ccc(N4CCNCC4)cc2C3)cc1,MAPKAPK2
CHEMBL1801307,p,CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4ccc(F)nc4)nc3-2)C1,MAPKAPK2
