Index,Model,Network,ACC,Precision,Recall,F1,Specificity,AP,AUC,ACD990 N,ACD990 P
193,FCFP,"[32,8]",0.971374765,0.969114834,0.959940882,0.964366326,0.986336511,0.980849748,0.985986431,885,7
59,ECFP-count,"[256,32]",0.970621469,0.967250915,0.960198818,0.963415865,0.984229866,0.981492845,0.986359748,884,8
67,ECFP-count,"[512,64]",0.970621469,0.966929252,0.961029983,0.963655483,0.983181379,0.983476028,0.987420088,884,8
170,FCFP,"[256,64]",0.970621469,0.968312362,0.959025955,0.963477381,0.985804669,0.981404204,0.986203979,883,9
184,FCFP,"[128,32]",0.970621469,0.967036826,0.960626474,0.963602004,0.983707694,0.981096958,0.985526193,887,5
57,ECFP-count,"[256,128]",0.970244821,0.968061133,0.958736998,0.96285639,0.985279735,0.981356262,0.986730281,883,9
190,FCFP,"[64,16]",0.970244821,0.967441571,0.959145612,0.962958347,0.9847548,0.981614023,0.986295207,890,2
72,ECFP-count,"[128,32]",0.969868173,0.968453393,0.957306502,0.962458842,0.986339273,0.98013774,0.985298168,879,13
186,FCFP,"[128,64,32]",0.969868173,0.967624582,0.958097512,0.962549907,0.985281116,0.980261315,0.985426936,889,3
81,ECFP-count,"[32,8]",0.969491525,0.963786236,0.961038697,0.962259928,0.9805498,0.980353149,0.985743496,881,11
169,FCFP,"[256,128]",0.969491525,0.967929658,0.956621755,0.961926324,0.986329604,0.980232103,0.985573589,882,10
185,FCFP,"[128,16]",0.969491525,0.965989382,0.958631851,0.96211812,0.983700787,0.98049137,0.984973157,888,4
76,ECFP-count,"[128,32,16]",0.969114878,0.966538957,0.957162581,0.961496973,0.984753419,0.979508173,0.985288455,879,13
175,FCFP,"[256,64,32]",0.969114878,0.968345491,0.955149453,0.961344047,0.987384998,0.979293922,0.985315189,860,32
60,ECFP-count,"[256,16]",0.96873823,0.96433756,0.958508773,0.961178086,0.982130128,0.98164621,0.986867129,879,13
77,ECFP-count,"[64,32]",0.96873823,0.963971736,0.958897655,0.961224967,0.98160105,0.981155743,0.986200508,881,11
177,FCFP,"[512,256]",0.96873823,0.966369914,0.956506817,0.961112579,0.984757563,0.9821414,0.986774352,883,9
179,FCFP,"[512,64]",0.96873823,0.965240025,0.957704789,0.961218891,0.983179997,0.981612656,0.986336879,885,7
188,FCFP,"[128,32,16]",0.96873823,0.966334453,0.95648336,0.960983257,0.9847548,0.977435015,0.983849391,878,14
58,ECFP-count,"[256,64]",0.968361582,0.963071786,0.959052632,0.960841259,0.980551181,0.981504118,0.986871105,879,13
71,ECFP-count,"[128,64]",0.968361582,0.964502416,0.957441631,0.960726374,0.982653681,0.981423794,0.986597733,884,8
78,ECFP-count,"[64,16]",0.968361582,0.963370562,0.95862801,0.960767126,0.98107059,0.980982111,0.985658426,882,10
180,FCFP,"[512,256,128]",0.968361582,0.965667304,0.956234138,0.960648908,0.984229866,0.979905117,0.985297719,865,27
183,FCFP,"[128,64]",0.968361582,0.96499432,0.957437216,0.960692444,0.982653681,0.98139192,0.986257714,886,6
195,FCFP,"[32,4]",0.968361582,0.962980646,0.959043802,0.960837621,0.980551181,0.978755472,0.983902113,889,3
182,FCFP,"[512,128,64]",0.967984934,0.967227234,0.953958542,0.959840461,0.986336511,0.980313242,0.98522669,879,13
70,ECFP-count,"[512,128,64]",0.967608286,0.967102755,0.95332209,0.959523695,0.986335129,0.977568836,0.983556607,887,5
74,ECFP-count,"[128,64,32]",0.967608286,0.966683298,0.953303739,0.959519529,0.986333748,0.979527048,0.985204507,886,6
84,ECFP-count,"[16,8]",0.967608286,0.960862219,0.959330301,0.960059876,0.978448681,0.980405089,0.985592005,879,13
172,FCFP,"[256,16]",0.967608286,0.964963299,0.954903839,0.959612784,0.984227103,0.981221421,0.98598303,878,14
178,FCFP,"[512,128]",0.967608286,0.965060941,0.954891284,0.959558143,0.984228485,0.978277628,0.985635448,880,12
171,FCFP,"[256,32]",0.967231638,0.964687481,0.954232757,0.959131736,0.984227103,0.980461479,0.985339068,883,9
192,FCFP,"[32,16]",0.967231638,0.961502679,0.957850129,0.959424498,0.979497168,0.980647926,0.985261068,881,11
194,FCFP,"[32,16,8]",0.967231638,0.961899051,0.957043802,0.959384248,0.980551181,0.978976618,0.984672798,890,2
64,ECFP-count,"[256,64,16]",0.966854991,0.965345565,0.952782529,0.95855178,0.985282498,0.97982202,0.98557248,885,7
66,ECFP-count,"[512,128]",0.966854991,0.961713706,0.956370649,0.958870157,0.980547037,0.981227956,0.986259257,885,7
73,ECFP-count,"[128,16]",0.966478343,0.96437115,0.952932401,0.958212314,0.984231247,0.980824598,0.985284955,881,11
83,ECFP-count,"[32,4]",0.966478343,0.960424206,0.956929825,0.958528905,0.978972234,0.975167706,0.981743,879,13
181,FCFP,"[512,256,64]",0.966478343,0.962889025,0.954516221,0.958304872,0.982127366,0.981412454,0.9862662,878,14
189,FCFP,"[64,32]",0.966478343,0.960354337,0.957339821,0.958625821,0.978450062,0.980319828,0.985412615,887,5
506,SECFP,"[256,64]",0.966101695,0.963680173,0.952644405,0.957769565,0.983699406,0.973944234,0.979294136,882,10
68,ECFP-count,"[512,256,128]",0.966101695,0.962628633,0.95462801,0.957816905,0.98107059,0.977980022,0.9852825,872,20
80,ECFP-count,"[32,16]",0.966101695,0.963031964,0.953464668,0.957874996,0.982646774,0.979491915,0.984488864,882,10
176,FCFP,"[256,64,16]",0.966101695,0.964187537,0.951846217,0.957674877,0.984752038,0.979024351,0.984754537,885,7
187,FCFP,"[128,64,16]",0.966101695,0.962311859,0.953837962,0.957835514,0.98212184,0.980943109,0.986097506,887,5
196,FCFP,"[16,8]",0.966101695,0.961073592,0.955060081,0.957950628,0.980548418,0.979724212,0.984849691,884,8
357,Pharm2D-Gobbi,"[64,32]",0.965348399,0.962304532,0.952150796,0.956898264,0.982659207,0.972195682,0.979646347,884,8
62,ECFP-count,"[256,128,32]",0.965348399,0.959530436,0.955361626,0.957223901,0.978458351,0.979749497,0.985681065,888,4
63,ECFP-count,"[256,64,32]",0.964971751,0.961601247,0.951855351,0.956363634,0.982130128,0.978319823,0.984310934,881,11
65,ECFP-count,"[512,256]",0.964971751,0.963561282,0.950284776,0.956298311,0.98423401,0.980319263,0.98554264,886,6
191,FCFP,"[64,32,16]",0.964971751,0.959613473,0.953864065,0.956512465,0.97949855,0.980004065,0.984944039,887,5
69,ECFP-count,"[512,256,64]",0.964595104,0.961767403,0.951226767,0.95597914,0.982135654,0.977544763,0.986747323,889,3
173,FCFP,"[256,128,64]",0.964595104,0.963693214,0.949222049,0.955695149,0.984757563,0.981199293,0.986092961,881,11
526,SECFP,"[64,16]",0.964595104,0.960280972,0.952386927,0.955982381,0.980544274,0.972631108,0.978496089,883,9
528,SECFP,"[32,16]",0.964595104,0.957970338,0.954803294,0.956239862,0.977394668,0.97338566,0.978794344,871,21
174,FCFP,"[256,128,32]",0.964218456,0.961090663,0.950920421,0.955297169,0.981602431,0.977733026,0.983841431,890,2
515,SECFP,"[512,64]",0.964218456,0.960059263,0.952135362,0.955630216,0.980023484,0.974297659,0.980008468,882,10
531,SECFP,"[32,4]",0.964218456,0.95879556,0.95294238,0.955673706,0.978970852,0.968574721,0.975323943,885,7
510,SECFP,"[256,128,32]",0.963841808,0.962422098,0.948247383,0.95470566,0.984229866,0.971257106,0.978226033,889,3
524,SECFP,"[128,32,16]",0.963841808,0.959148542,0.951861302,0.955094078,0.979493024,0.972563663,0.979066679,876,16
525,SECFP,"[64,32]",0.963841808,0.959744491,0.951064496,0.955056804,0.980548418,0.972473613,0.978831612,881,11
527,SECFP,"[64,32,16]",0.963841808,0.958868472,0.951892627,0.955123196,0.979502694,0.971518637,0.978803826,887,5
75,ECFP-count,"[128,64,16]",0.96346516,0.959434584,0.950438946,0.95461745,0.980551181,0.979530956,0.985397236,881,11
79,ECFP-count,"[64,32,16]",0.96346516,0.95790466,0.95203436,0.954760053,0.978452825,0.977878706,0.983223307,878,14
516,SECFP,"[512,256,128]",0.96346516,0.960122018,0.950427773,0.954615233,0.980555325,0.970030585,0.976347169,885,7
520,SECFP,"[128,32]",0.96346516,0.959219826,0.950815274,0.954662234,0.980023484,0.973195465,0.978683859,883,9
529,SECFP,"[32,8]",0.96346516,0.957174523,0.953215633,0.95484488,0.976868352,0.973372797,0.978355237,883,9
350,Pharm2D-Gobbi,"[512,128,64]",0.963088512,0.957161659,0.95176913,0.954295382,0.977922365,0.970713818,0.9806716,881,11
352,Pharm2D-Gobbi,"[128,32]",0.963088512,0.960023541,0.949375948,0.954154554,0.981083023,0.973269233,0.980376774,886,6
507,SECFP,"[256,32]",0.963088512,0.958981113,0.95053749,0.95425419,0.979494405,0.974040297,0.979106661,885,7
530,SECFP,"[32,16,8]",0.963088512,0.956603515,0.952944607,0.954432754,0.976335129,0.972435617,0.979692252,881,11
