,Unnamed: 0,fcfp_binary,fcfp_prob,ecfp_binary,ecfp_prob,p2gob_binary,p2gob_prob,secfp_binary,secfp_prob,feat_binary,feat_prob,p2map_binary,p2map_prob,mor_binary,mor_prob,pat_binary,pat_prob,tor_binary,tor_prob,lay_binary,lay_prob,sum_binary,sum_prob,SMILES,ID
0,0,0.0,0.05310616,0.0,0.07935693,0.0,0.038011476,0.0,0.11638759,0.0,0.06494004,0.0,0.22627605,0.0,0.0102907745,0.0,0.009268759,0.0,0.012009923,0.0,2.9872395e-05,0.0,0.6096776,Oc1ccc(N=O)c2cccnc12,3852
1,1,0.0,0.008663549,0.0,0.017654153,0.0,0.00016453916,0.0,0.017998362,0.0,0.032462984,0.0,0.00229561,0.0,0.007221833,0.0,0.032568056,0.0,0.038502667,0.0,0.0035653943,0.0,0.16109715,Clc1ccc(cc1)n2ncc3c(NCCCN4CCOCC4)ncnc23,4916
2,2,0.0,0.0068748747,0.0,0.0015957671,0.0,0.06972564,0.0,0.02058048,0.0,0.004230499,0.0,0.016889004,0.0,0.003417336,0.0,0.04603755,0.0,0.00039420775,0.0,2.370766e-05,0.0,0.16976906,COc1cc(\N=N\c2ccc(O)c3ncccc23)c4ncccc4c1,5896
3,3,0.0,0.017828235,0.0,0.00690728,0.0,0.053826954,0.0,0.06314769,0.0,0.01855041,0.0,0.19887471,0.0,0.11987732,0.0,0.060739223,0.0,0.086698525,0.0,0.0003648344,0.0,0.6268152,COc1ccc2nccc(\C=C\c3ccnc4ccc(OC)cc34)c2c1,5907
4,4,0.0,0.06350023,0.0,0.020524094,0.0,0.027948096,0.0,0.154075,0.0,0.10183749,0.0,0.030113174,0.0,0.052910723,0.0,0.03889309,0.0,0.013325392,0.0,0.008313276,0.0,0.5114406,Oc1c([nH]c2ccccc12)c3[nH]c4ccccc4c3O,8648
5,5,0.0,0.002397756,0.0,0.0012933598,0.0,0.00025365435,0.0,0.013785545,0.0,0.015267593,0.0,0.00038364783,0.0,0.0051350095,0.0,0.032252926,0.0,0.013846818,0.0,0.05432534,0.0,0.13894166,Clc1ccc(cc1)n2ncc3c(Nc4ccccc4Cl)ncnc23,11659
6,6,0.0,0.23756234,1.0,0.5967317,0.0,0.04889761,0.0,0.20164679,0.0,0.060817722,0.0,0.21218869,0.0,0.29187444,0.0,0.104259305,1.0,0.5086808,0.0,0.0074243066,2.0,2.270084,CNc1ccc2cc3ccc(NC)cc3[o+]c2c1,11856
7,7,0.0,0.0638358,0.0,0.16036582,0.0,0.055795267,0.0,0.17840174,0.0,0.19695243,0.0,0.046320964,0.0,0.109260246,0.0,0.32579288,0.0,0.015771078,0.0,0.077537365,0.0,1.2300336,O=C1NC(=O)c2c1cc3ccccc3c2c4ccccc4,12102
8,8,0.0,0.034231063,0.0,0.084636874,0.0,0.00019363566,0.0,0.025060015,0.0,0.1363352,0.0,0.095889896,0.0,0.023500502,0.0,0.03573251,0.0,0.071367614,0.0,0.0036069467,0.0,0.51055425,Oc1cc(Nc2ccnc3cc(Cl)ccc23)c4ncccc4c1,12260
9,9,0.0,0.015110412,0.0,0.018491907,0.0,0.00020625305,0.0,0.05502554,0.0,0.027994173,0.0,0.0027877218,0.0,0.028740449,0.0,0.012024993,0.0,0.102471784,0.0,0.0048934603,0.0,0.2677467,OC(=O)c1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O,12492
10,10,0.0,0.0024549165,0.0,0.0016323802,0.0,0.055656917,0.0,0.02816333,0.0,0.0041609444,0.0,0.018071342,0.0,0.001725645,0.0,0.010443182,0.0,0.007888605,0.0,0.0019493174,0.0,0.13214657,Cc1c(nc2ccccc2c1C(=O)O)c3ccccc3Cl,12776
11,11,0.0,0.0045933863,0.0,0.009757076,0.0,0.013643025,0.0,0.054338936,0.0,0.0049282876,0.0,0.016395139,0.0,0.007994406,0.0,0.030513898,0.0,0.31032428,0.0,0.0002103894,0.0,0.4526988,CCN(CC)c1ccc(\C=N\c2ccnc3ccc(OC)cc23)cc1,13047
12,12,0.0,0.0077307294,0.0,0.012183113,0.0,0.0021950991,0.0,0.11891484,0.0,0.124795236,0.0,0.05347696,0.0,0.000986097,0.0,0.035811525,0.0,0.040376075,0.0,0.006399316,0.0,0.40286896,CCN(CC)c1ccc(CNc2cc(C)nc3ccccc23)cc1,13464
13,13,0.0,0.003245158,0.0,0.0024340623,0.0,0.05964183,0.0,0.04246397,0.0,0.17653234,0.0,0.001046239,0.0,0.0018005259,0.0,0.072907306,0.0,0.022324935,0.0,0.0066589895,0.0,0.3890554,CCN(CC)CCCC(C)Nc1ccnc2ccc(Oc3ccccc3)cc12,13478
14,14,0.0,0.23756234,1.0,0.5967317,0.0,0.04889761,0.0,0.20164679,0.0,0.060817722,0.0,0.21218869,0.0,0.29187444,0.0,0.104259305,1.0,0.5086808,0.0,0.0074243066,2.0,2.270084,CNc1ccc2cc3ccc(NC)cc3[o+]c2c1,13972
15,15,0.0,0.061615106,0.0,0.064425915,0.0,0.00041458843,0.0,0.057138924,0.0,0.028329086,0.0,0.0018727698,0.0,0.049944866,0.0,0.06061783,0.0,0.02749514,0.0,0.011703316,0.0,0.36355755,Cc1ccc(Nc2nc(N)nc(Nc3ccc4ccccc4c3)n2)cc1,14465
16,16,0.0,0.009281746,0.0,0.008542935,0.0,0.00087819214,0.0,0.02513854,0.0,0.13634472,0.0,0.0018377346,0.0,0.044804025,0.0,0.0048437426,0.0,0.0046515344,0.0,0.000189309,0.0,0.23651245,Nc1nc(SCc2ccccc2)c3[nH]cnc3n1,15747
17,17,0.0,0.031125702,0.0,0.21857275,0.0,0.0028663634,0.0,0.016883058,0.0,0.006179253,0.0,0.10990027,0.0,0.07377304,0.0,0.014280303,0.0,0.013083442,0.0,0.004624348,0.0,0.49128845,O=C1NC(=O)\C(=C/c2c[nH]c3ccccc23)\N1,18701
18,18,0.0,0.014700167,0.0,0.0011209317,0.0,0.0007864924,0.0,0.007999968,0.0,0.009710824,0.0,7.5204516e-05,0.0,0.0060517034,0.0,0.018889828,0.0,0.017692026,0.0,0.00026727322,0.0,0.07729442,OCC(O)C(O)C(O)C(O)c1nc2cc(Cl)ccc2[nH]1,18719
19,19,0.0,0.040639166,0.0,0.023234077,0.0,0.0006692298,0.0,0.023664005,0.0,0.006861046,0.0,0.006804773,0.0,0.024647601,0.0,0.0127976,0.0,0.0022267962,0.0,0.0050345124,0.0,0.1465788,Nc1ncnc2c1cnn2Cc3ccccc3,19127
20,20,0.0,0.038817693,0.0,0.037699968,0.0,0.0030239604,0.0,0.019114632,0.0,0.013904261,0.0,0.020022385,0.0,0.111376286,0.0,0.06778883,0.0,0.05657019,0.0,0.073477484,0.0,0.44179568,OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)cc3O,19801
21,21,0.0,0.022808814,0.0,0.0073371814,0.0,0.018392768,0.0,0.049260363,0.0,0.062930465,0.0,0.011428261,0.0,0.0048915106,0.0,0.4909755,0.0,0.00053671934,0.0,0.041760866,0.0,0.7103225,CC1(C)C(N2CCOCC2)c3cc4ccccc4nc3c5ccccc15,19838
